                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.76532,                0.60119,                  1.001,                0.90207,                0.60842,                0.69554,                0.41786,                 1.3319,                0.70856,                 1.3161,             0.00022862,             0.00022862,             0.00022862
                    105,                0.77241,                0.60557,                 1.0014,                0.87632,                0.62543,                0.69254,                0.41697,                 1.3156,                0.72317,                 1.3057,             0.00022391,             0.00022391,             0.00022391
                    106,                0.77551,                0.60528,                0.99961,                0.83076,                0.64168,                0.69045,                 0.4275,                   1.28,                0.70964,                 1.2777,              0.0002192,              0.0002192,              0.0002192
                    107,                0.76808,                0.60576,                0.99959,                0.87378,                0.61916,                0.68814,                0.41854,                 1.3292,                0.71239,                 1.3057,             0.00021449,             0.00021449,             0.00021449
                    108,                0.76363,                0.59658,                0.99475,                0.87495,                0.63149,                0.69847,                0.43155,                 1.2764,                0.68903,                 1.2735,             0.00020977,             0.00020977,             0.00020977
                    109,                 0.7624,                0.59691,                0.99796,                0.89132,                0.64248,                0.70866,                0.43371,                 1.3008,                0.68859,                  1.299,             0.00020506,             0.00020506,             0.00020506
                    110,                0.75929,                0.59312,                 0.9931,                0.88515,                0.63622,                0.70638,                0.43222,                  1.285,                0.69127,                 1.2842,             0.00020035,             0.00020035,             0.00020035
                    111,                0.75696,                0.59259,                0.99341,                0.87934,                0.62701,                0.69976,                 0.4262,                  1.309,                0.70476,                 1.3128,             0.00019564,             0.00019564,             0.00019564
                    112,                0.76289,                0.59013,                0.99391,                 0.8741,                 0.6454,                0.70574,                0.42678,                 1.2731,                0.70792,                 1.2806,             0.00019092,             0.00019092,             0.00019092
                    113,                0.75256,                0.58541,                0.99037,                0.88438,                0.64541,                0.70681,                0.43807,                  1.255,                0.67546,                 1.2725,             0.00018621,             0.00018621,             0.00018621
